0:0:0:0:0:0:0:1 - - [04/Mar/2020:07:43:24 -0300] "GET /SmartBank/home.jsp HTTP/1.1" 200 10040
0:0:0:0:0:0:0:1 - - [04/Mar/2020:07:43:26 -0300] "GET /SmartBank/transferencias.jsp HTTP/1.1" 200 6206
0:0:0:0:0:0:0:1 - - [04/Mar/2020:07:43:26 -0300] "GET /SmartBank/transferenciajs.js HTTP/1.1" 200 322
0:0:0:0:0:0:0:1 - - [04/Mar/2020:07:43:27 -0300] "POST /SmartBank/transferencias.jsp HTTP/1.1" 200 6429
0:0:0:0:0:0:0:1 - - [04/Mar/2020:07:47:17 -0300] "POST /SmartBank/transferencias.jsp HTTP/1.1" 500 3047
0:0:0:0:0:0:0:1 - - [04/Mar/2020:07:47:32 -0300] "GET /SmartBank/transferencias.jsp HTTP/1.1" 500 3047
0:0:0:0:0:0:0:1 - - [04/Mar/2020:07:47:58 -0300] "GET /SmartBank/transferencias.jsp HTTP/1.1" 200 6206
0:0:0:0:0:0:0:1 - - [04/Mar/2020:07:47:58 -0300] "GET /SmartBank/img/logo.png HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [04/Mar/2020:07:48:02 -0300] "POST /SmartBank/transferencias.jsp HTTP/1.1" 200 6439
0:0:0:0:0:0:0:1 - - [04/Mar/2020:07:48:31 -0300] "POST /SmartBank/transferencias.jsp HTTP/1.1" 200 6472
0:0:0:0:0:0:0:1 - - [04/Mar/2020:07:48:32 -0300] "GET /SmartBank/img/logo.png HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [04/Mar/2020:07:48:44 -0300] "POST /SmartBank/transferencias.jsp HTTP/1.1" 500 2949
0:0:0:0:0:0:0:1 - - [04/Mar/2020:07:49:13 -0300] "POST /SmartBank/transferencias.jsp HTTP/1.1" 200 6472
0:0:0:0:0:0:0:1 - - [04/Mar/2020:07:49:14 -0300] "GET /SmartBank/img/logo.png HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [04/Mar/2020:07:49:20 -0300] "POST /SmartBank/transferencias.jsp HTTP/1.1" 200 6504
0:0:0:0:0:0:0:1 - - [04/Mar/2020:07:51:28 -0300] "GET /SmartBank/home.jsp HTTP/1.1" 200 10040
0:0:0:0:0:0:0:1 - - [04/Mar/2020:07:51:31 -0300] "GET /SmartBank/extrato.jsp HTTP/1.1" 200 2810
0:0:0:0:0:0:0:1 - - [04/Mar/2020:07:51:46 -0300] "POST /SmartBank/extrato.jsp HTTP/1.1" 200 37044
0:0:0:0:0:0:0:1 - - [04/Mar/2020:07:51:50 -0300] "GET /SmartBank/extrato.jsp HTTP/1.1" 200 2810
0:0:0:0:0:0:0:1 - - [04/Mar/2020:07:51:52 -0300] "GET /SmartBank/home.jsp HTTP/1.1" 200 10040
0:0:0:0:0:0:0:1 - - [04/Mar/2020:07:51:55 -0300] "GET /SmartBank/pagarboleto.jsp HTTP/1.1" 200 4212
0:0:0:0:0:0:0:1 - - [04/Mar/2020:07:51:55 -0300] "GET /assets/images/avatar-empty.png HTTP/1.1" 404 1112
0:0:0:0:0:0:0:1 - - [04/Mar/2020:07:53:20 -0300] "GET /SmartBank/pagarboleto.jsp HTTP/1.1" 200 4246
0:0:0:0:0:0:0:1 - - [04/Mar/2020:07:53:20 -0300] "GET /assets/images/avatar-empty.png HTTP/1.1" 404 1112
0:0:0:0:0:0:0:1 - - [04/Mar/2020:07:53:20 -0300] "GET /SmartBank/img/logo.png HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [04/Mar/2020:07:53:23 -0300] "POST /SmartBank/pagarboleto.jsp HTTP/1.1" 200 4297
0:0:0:0:0:0:0:1 - - [04/Mar/2020:07:53:23 -0300] "GET /assets/images/avatar-empty.png HTTP/1.1" 404 1112
0:0:0:0:0:0:0:1 - - [04/Mar/2020:07:53:41 -0300] "POST /SmartBank/pagarboleto.jsp HTTP/1.1" 200 4297
0:0:0:0:0:0:0:1 - - [04/Mar/2020:07:53:41 -0300] "GET /assets/images/avatar-empty.png HTTP/1.1" 404 1112
0:0:0:0:0:0:0:1 - - [04/Mar/2020:07:53:59 -0300] "POST /SmartBank/pagarboleto.jsp HTTP/1.1" 200 4264
0:0:0:0:0:0:0:1 - - [04/Mar/2020:07:53:59 -0300] "GET /assets/images/avatar-empty.png HTTP/1.1" 404 1112
0:0:0:0:0:0:0:1 - - [04/Mar/2020:07:54:04 -0300] "POST /SmartBank/pagarboleto.jsp HTTP/1.1" 200 4263
0:0:0:0:0:0:0:1 - - [04/Mar/2020:07:54:04 -0300] "GET /assets/images/avatar-empty.png HTTP/1.1" 404 1112
0:0:0:0:0:0:0:1 - - [04/Mar/2020:07:54:47 -0300] "GET /SmartBank/home.jsp HTTP/1.1" 200 10040
0:0:0:0:0:0:0:1 - - [04/Mar/2020:07:54:59 -0300] "GET /SmartBank/debcre.jsp HTTP/1.1" 200 5872
0:0:0:0:0:0:0:1 - - [04/Mar/2020:07:55:35 -0300] "POST /SmartBank/debcre.jsp HTTP/1.1" 500 2652
0:0:0:0:0:0:0:1 - - [04/Mar/2020:07:55:45 -0300] "GET /SmartBank/debcre.jsp HTTP/1.1" 200 5872
0:0:0:0:0:0:0:1 - - [04/Mar/2020:07:55:45 -0300] "GET /SmartBank/img/logo.png HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [04/Mar/2020:07:55:46 -0300] "GET /SmartBank/debcre.jsp HTTP/1.1" 200 5872
0:0:0:0:0:0:0:1 - - [04/Mar/2020:07:55:46 -0300] "GET /SmartBank/img/logo.png HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [04/Mar/2020:07:55:47 -0300] "GET /SmartBank/debcre.jsp HTTP/1.1" 200 5872
0:0:0:0:0:0:0:1 - - [04/Mar/2020:07:55:47 -0300] "GET /SmartBank/img/logo.png HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [04/Mar/2020:07:55:47 -0300] "GET /SmartBank/debcre.jsp HTTP/1.1" 200 5872
0:0:0:0:0:0:0:1 - - [04/Mar/2020:07:55:47 -0300] "GET /SmartBank/img/logo.png HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [04/Mar/2020:07:55:47 -0300] "GET /SmartBank/debcre.jsp HTTP/1.1" 200 5872
0:0:0:0:0:0:0:1 - - [04/Mar/2020:07:55:47 -0300] "GET /SmartBank/img/logo.png HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [04/Mar/2020:07:55:47 -0300] "GET /SmartBank/debcre.jsp HTTP/1.1" 200 5872
0:0:0:0:0:0:0:1 - - [04/Mar/2020:07:55:47 -0300] "GET /SmartBank/img/logo.png HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [04/Mar/2020:07:55:53 -0300] "GET /SmartBank/debcre.jsp HTTP/1.1" 200 5863
0:0:0:0:0:0:0:1 - - [04/Mar/2020:07:55:53 -0300] "GET /SmartBank/debcre.jsp HTTP/1.1" 200 5863
0:0:0:0:0:0:0:1 - - [04/Mar/2020:07:55:53 -0300] "GET /SmartBank/debcre.jsp HTTP/1.1" 200 5863
0:0:0:0:0:0:0:1 - - [04/Mar/2020:07:55:53 -0300] "GET /SmartBank/img/logo.png HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [04/Mar/2020:07:57:19 -0300] "GET /SmartBank/debcre.jsp HTTP/1.1" 200 5872
0:0:0:0:0:0:0:1 - - [04/Mar/2020:07:57:19 -0300] "GET /SmartBank/img/logo.png HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [04/Mar/2020:07:58:31 -0300] "GET /SmartBank/debcre.jsp HTTP/1.1" 200 5872
0:0:0:0:0:0:0:1 - - [04/Mar/2020:07:58:31 -0300] "GET /SmartBank/img/logo.png HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [04/Mar/2020:07:58:34 -0300] "GET /SmartBank/home.jsp HTTP/1.1" 200 10040
0:0:0:0:0:0:0:1 - - [04/Mar/2020:07:58:35 -0300] "GET /SmartBank/home.jsp HTTP/1.1" 200 10040
0:0:0:0:0:0:0:1 - - [04/Mar/2020:07:58:35 -0300] "GET /SmartBank/img/logo.png HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [04/Mar/2020:07:58:39 -0300] "GET /SmartBank/debcre.jsp HTTP/1.1" 200 5872
0:0:0:0:0:0:0:1 - - [04/Mar/2020:07:58:39 -0300] "GET /SmartBank/img/logo.png HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [04/Mar/2020:08:00:14 -0300] "GET /SmartBank/debcre.jsp HTTP/1.1" 200 5863
0:0:0:0:0:0:0:1 - - [04/Mar/2020:08:00:14 -0300] "GET /SmartBank/debcre.jsp HTTP/1.1" 200 5863
0:0:0:0:0:0:0:1 - - [04/Mar/2020:08:00:14 -0300] "GET /SmartBank/img/logo.png HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [04/Mar/2020:08:03:26 -0300] "GET /SmartBank/debcre.jsp HTTP/1.1" 200 5872
0:0:0:0:0:0:0:1 - - [04/Mar/2020:08:03:26 -0300] "GET /SmartBank/img/logo.png HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [04/Mar/2020:08:07:19 -0300] "GET /SmartBank/debcre.jsp HTTP/1.1" 200 6093
0:0:0:0:0:0:0:1 - - [04/Mar/2020:08:07:19 -0300] "GET /SmartBank/img/logo.png HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [04/Mar/2020:08:07:35 -0300] "GET /SmartBank/debcre.jsp HTTP/1.1" 200 6093
0:0:0:0:0:0:0:1 - - [04/Mar/2020:08:07:35 -0300] "GET /SmartBank/img/logo.png HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [04/Mar/2020:08:08:00 -0300] "GET /SmartBank/debcre.jsp HTTP/1.1" 200 6093
0:0:0:0:0:0:0:1 - - [04/Mar/2020:08:08:00 -0300] "GET /SmartBank/img/logo.png HTTP/1.1" 200 1642
