127.0.0.1 - - [18/Feb/2020:06:37:04 -0300] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [18/Feb/2020:06:37:08 -0300] "GET /SmartBank/debcre.jsp HTTP/1.1" 200 1317
0:0:0:0:0:0:0:1 - - [18/Feb/2020:06:37:08 -0300] "GET /SmartBank/debcrecss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2020:06:37:08 -0300] "GET /SmartBank/jQuery%20Mask/jquery.mask.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2020:06:37:08 -0300] "GET /SmartBank/bootstrap/jquery/dist/jquery.slim.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2020:06:37:08 -0300] "GET /SmartBank/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2020:06:37:08 -0300] "GET /SmartBank/bootstrap/dist/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2020:06:37:08 -0300] "GET /SmartBank/bootstrap/popper.js/dist/umd/popper.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2020:06:38:16 -0300] "GET /SmartBank/debcre.jsp HTTP/1.1" 200 1377
0:0:0:0:0:0:0:1 - - [18/Feb/2020:06:38:16 -0300] "GET /SmartBank/img/logo.png HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [18/Feb/2020:06:38:24 -0300] "GET /SmartBank/debcre.jsp HTTP/1.1" 200 1377
0:0:0:0:0:0:0:1 - - [18/Feb/2020:06:38:24 -0300] "GET /SmartBank/img/logo.png HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [18/Feb/2020:06:38:25 -0300] "GET /SmartBank/debcre.jsp HTTP/1.1" 200 1377
0:0:0:0:0:0:0:1 - - [18/Feb/2020:06:38:25 -0300] "GET /SmartBank/img/logo.png HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [18/Feb/2020:06:38:26 -0300] "GET /SmartBank/debcre.jsp HTTP/1.1" 200 1377
0:0:0:0:0:0:0:1 - - [18/Feb/2020:06:38:26 -0300] "GET /SmartBank/img/logo.png HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [18/Feb/2020:06:38:26 -0300] "GET /SmartBank/debcre.jsp HTTP/1.1" 200 1377
0:0:0:0:0:0:0:1 - - [18/Feb/2020:06:38:26 -0300] "GET /SmartBank/img/logo.png HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [18/Feb/2020:06:38:27 -0300] "GET /SmartBank/home.jsp HTTP/1.1" 200 10502
0:0:0:0:0:0:0:1 - - [18/Feb/2020:06:38:27 -0300] "GET /SmartBank/homecss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2020:06:38:27 -0300] "GET /SmartBank/img/logot.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2020:06:38:27 -0300] "GET /SmartBank/img/background%20(1).svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2020:06:38:27 -0300] "GET /SmartBank/img/iphone700px.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2020:06:38:27 -0300] "GET /SmartBank/homejs.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2020:06:38:27 -0300] "GET /SmartBank/img/screen.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2020:06:38:37 -0300] "POST /SmartBank/home.jsp HTTP/1.1" 500 3600
0:0:0:0:0:0:0:1 - - [18/Feb/2020:06:38:37 -0300] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [18/Feb/2020:06:55:08 -0300] "GET /SmartBank/debcre.jsp HTTP/1.1" 200 1393
