127.0.0.1 - - [20/Feb/2020:06:41:37 -0300] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [20/Feb/2020:06:41:40 -0300] "GET /SmartBank/pagarboleto.jsp HTTP/1.1" 200 1937
0:0:0:0:0:0:0:1 - - [20/Feb/2020:06:41:41 -0300] "GET /SmartBank/jQuery%20Mask/jquery.mask.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Feb/2020:06:41:41 -0300] "GET /SmartBank/bootstrap/jquery/dist/jquery.slim.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Feb/2020:06:41:41 -0300] "GET /SmartBank/bootstrap/dist/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Feb/2020:06:41:41 -0300] "GET /SmartBank/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Feb/2020:06:41:41 -0300] "GET /SmartBank/bootstrap/popper.js/dist/umd/popper.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Feb/2020:06:42:52 -0300] "GET /SmartBank/pagarboleto.jsp HTTP/1.1" 200 1945
0:0:0:0:0:0:0:1 - - [20/Feb/2020:06:42:52 -0300] "GET /SmartBank/img/logo.png HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [20/Feb/2020:06:44:25 -0300] "GET /SmartBank/pagarboleto.jsp HTTP/1.1" 200 1942
0:0:0:0:0:0:0:1 - - [20/Feb/2020:06:44:25 -0300] "GET /SmartBank/img/logo.png HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [20/Feb/2020:06:45:39 -0300] "GET /SmartBank/pagarboleto.jsp HTTP/1.1" 200 1718
0:0:0:0:0:0:0:1 - - [20/Feb/2020:06:45:39 -0300] "GET /SmartBank/img/logo.png HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [20/Feb/2020:06:46:02 -0300] "GET /SmartBank/home.jsp HTTP/1.1" 200 10581
0:0:0:0:0:0:0:1 - - [20/Feb/2020:06:46:02 -0300] "GET /SmartBank/homecss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Feb/2020:06:46:02 -0300] "GET /SmartBank/img/logot.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Feb/2020:06:46:02 -0300] "GET /SmartBank/img/background%20(1).svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Feb/2020:06:46:02 -0300] "GET /SmartBank/img/screen.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Feb/2020:06:46:02 -0300] "GET /SmartBank/img/iphone700px.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Feb/2020:06:46:02 -0300] "GET /SmartBank/homejs.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Feb/2020:06:46:09 -0300] "POST /SmartBank/home.jsp HTTP/1.1" 500 2700
0:0:0:0:0:0:0:1 - - [20/Feb/2020:06:46:10 -0300] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [20/Feb/2020:06:50:54 -0300] "POST /SmartBank/home.jsp HTTP/1.1" 500 2700
0:0:0:0:0:0:0:1 - - [20/Feb/2020:06:51:44 -0300] "POST /SmartBank/home.jsp HTTP/1.1" 500 2700
0:0:0:0:0:0:0:1 - - [20/Feb/2020:06:52:06 -0300] "POST /SmartBank/home.jsp HTTP/1.1" 500 2700
0:0:0:0:0:0:0:1 - - [20/Feb/2020:06:54:31 -0300] "POST /SmartBank/home.jsp HTTP/1.1" 500 2700
0:0:0:0:0:0:0:1 - - [20/Feb/2020:06:54:48 -0300] "POST /SmartBank/home.jsp HTTP/1.1" 500 2700
0:0:0:0:0:0:0:1 - - [20/Feb/2020:06:55:28 -0300] "POST /SmartBank/home.jsp HTTP/1.1" 500 2700
0:0:0:0:0:0:0:1 - - [20/Feb/2020:06:55:36 -0300] "POST /SmartBank/home.jsp HTTP/1.1" 500 2700
0:0:0:0:0:0:0:1 - - [20/Feb/2020:06:55:38 -0300] "POST /SmartBank/home.jsp HTTP/1.1" 500 2700
0:0:0:0:0:0:0:1 - - [20/Feb/2020:06:56:59 -0300] "POST /SmartBank/home.jsp HTTP/1.1" 500 2700
0:0:0:0:0:0:0:1 - - [20/Feb/2020:07:03:33 -0300] "POST /SmartBank/home.jsp HTTP/1.1" 500 2700
0:0:0:0:0:0:0:1 - - [20/Feb/2020:07:05:16 -0300] "POST /SmartBank/home.jsp HTTP/1.1" 500 2700
0:0:0:0:0:0:0:1 - - [20/Feb/2020:07:07:23 -0300] "POST /SmartBank/home.jsp HTTP/1.1" 500 2700
0:0:0:0:0:0:0:1 - - [20/Feb/2020:07:30:30 -0300] "POST /SmartBank/home.jsp HTTP/1.1" 500 2700
