127.0.0.1 - - [02/Mar/2020:10:01:28 -0300] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [02/Mar/2020:10:01:29 -0300] "GET /SmartBank/home.jsp HTTP/1.1" 200 10645
0:0:0:0:0:0:0:1 - - [02/Mar/2020:10:01:29 -0300] "GET /SmartBank/homecss.css HTTP/1.1" 200 6215
0:0:0:0:0:0:0:1 - - [02/Mar/2020:10:01:29 -0300] "GET /SmartBank/jQuery%20Mask/jquery.mask.js HTTP/1.1" 200 15705
0:0:0:0:0:0:0:1 - - [02/Mar/2020:10:01:29 -0300] "GET /SmartBank/img/logot.png HTTP/1.1" 200 8489
0:0:0:0:0:0:0:1 - - [02/Mar/2020:10:01:29 -0300] "GET /SmartBank/img/background%20(1).svg HTTP/1.1" 200 49577
0:0:0:0:0:0:0:1 - - [02/Mar/2020:10:01:29 -0300] "GET /SmartBank/homejs.js HTTP/1.1" 200 388
0:0:0:0:0:0:0:1 - - [02/Mar/2020:10:01:29 -0300] "GET /SmartBank/img/iphone700px.png HTTP/1.1" 200 349541
0:0:0:0:0:0:0:1 - - [02/Mar/2020:10:01:29 -0300] "GET /SmartBank/img/screen.png HTTP/1.1" 200 71476
0:0:0:0:0:0:0:1 - - [02/Mar/2020:10:01:29 -0300] "GET /SmartBank/bootstrap/jquery/dist/jquery.slim.min.js HTTP/1.1" 200 71037
0:0:0:0:0:0:0:1 - - [02/Mar/2020:10:01:29 -0300] "GET /SmartBank/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 200 51039
0:0:0:0:0:0:0:1 - - [02/Mar/2020:10:01:29 -0300] "GET /SmartBank/bootstrap/dist/css/bootstrap.min.css HTTP/1.1" 200 140936
0:0:0:0:0:0:0:1 - - [02/Mar/2020:10:01:29 -0300] "GET /SmartBank/bootstrap/popper.js/dist/umd/popper.min.js HTTP/1.1" 200 21162
0:0:0:0:0:0:0:1 - - [02/Mar/2020:10:01:29 -0300] "GET /SmartBank/img/logo.png HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [02/Mar/2020:10:03:40 -0300] "GET /SmartBank/pagarboleto.jsp HTTP/1.1" 200 1698
0:0:0:0:0:0:0:1 - - [02/Mar/2020:10:31:14 -0300] "GET /SmartBank/home.jsp HTTP/1.1" 200 10645
0:0:0:0:0:0:0:1 - - [02/Mar/2020:10:38:23 -0300] "POST /SmartBank/home.jsp HTTP/1.1" 500 3600
0:0:0:0:0:0:0:1 - - [02/Mar/2020:10:38:23 -0300] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [02/Mar/2020:10:40:34 -0300] "GET /SmartBank/debcre.jsp HTTP/1.1" 200 1331
0:0:0:0:0:0:0:1 - - [02/Mar/2020:10:40:34 -0300] "GET /SmartBank/debcrecss.css HTTP/1.1" 200 5853
0:0:0:0:0:0:0:1 - - [02/Mar/2020:10:40:34 -0300] "GET /SmartBank/debcrejs.js HTTP/1.1" 200 353
0:0:0:0:0:0:0:1 - - [02/Mar/2020:10:41:41 -0300] "POST /SmartBank/home.jsp HTTP/1.1" 200 10688
0:0:0:0:0:0:0:1 - - [02/Mar/2020:10:41:51 -0300] "GET /SmartBank/home.jsp HTTP/1.1" 200 10645
0:0:0:0:0:0:0:1 - - [02/Mar/2020:10:42:35 -0300] "POST /SmartBank/home.jsp HTTP/1.1" 200 10736
0:0:0:0:0:0:0:1 - - [02/Mar/2020:10:42:47 -0300] "POST /SmartBank/home.jsp HTTP/1.1" 500 2554
0:0:0:0:0:0:0:1 - - [02/Mar/2020:10:43:05 -0300] "POST /SmartBank/home.jsp HTTP/1.1" 500 2554
0:0:0:0:0:0:0:1 - - [02/Mar/2020:10:43:16 -0300] "POST /SmartBank/home.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Mar/2020:10:43:16 -0300] "GET /SmartBank/home.jsp HTTP/1.1" 200 7944
0:0:0:0:0:0:0:1 - - [02/Mar/2020:10:44:30 -0300] "GET /SmartBank/bootstrap/dist/js/bootstrap.min.js.map HTTP/1.1" 200 176087
0:0:0:0:0:0:0:1 - - [02/Mar/2020:10:44:30 -0300] "GET /SmartBank/bootstrap/dist/css/bootstrap.min.css.map HTTP/1.1" 200 562427
