127.0.0.1 - - [27/Feb/2020:07:42:50 -0300] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [27/Feb/2020:07:42:51 -0300] "GET /SmartBank/home.jsp HTTP/1.1" 200 10581
0:0:0:0:0:0:0:1 - - [27/Feb/2020:07:42:51 -0300] "GET /SmartBank/homejs.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2020:07:42:58 -0300] "GET /SmartBank/extrato.jsp HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [27/Feb/2020:07:42:58 -0300] "GET /SmartBank/debcrecss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2020:07:43:01 -0300] "GET /SmartBank/home.jsp HTTP/1.1" 200 10581
0:0:0:0:0:0:0:1 - - [27/Feb/2020:07:43:07 -0300] "POST /SmartBank/home.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Feb/2020:07:43:07 -0300] "GET /SmartBank/home.jsp HTTP/1.1" 200 10744
0:0:0:0:0:0:0:1 - - [27/Feb/2020:07:43:11 -0300] "GET /SmartBank/extrato.jsp HTTP/1.1" 200 2744
0:0:0:0:0:0:0:1 - - [27/Feb/2020:07:45:35 -0300] "GET /SmartBank/extrato.jsp HTTP/1.1" 200 2771
0:0:0:0:0:0:0:1 - - [27/Feb/2020:07:45:35 -0300] "GET /SmartBank/img/logo.png HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [27/Feb/2020:07:45:59 -0300] "GET /SmartBank/extrato.jsp HTTP/1.1" 200 2810
0:0:0:0:0:0:0:1 - - [27/Feb/2020:07:45:59 -0300] "GET /SmartBank/extratojs.js HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [27/Feb/2020:07:45:59 -0300] "GET /SmartBank/img/logo.png HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [27/Feb/2020:07:47:22 -0300] "GET /SmartBank/extrato.jsp HTTP/1.1" 500 2891
0:0:0:0:0:0:0:1 - - [27/Feb/2020:07:47:22 -0300] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [27/Feb/2020:07:49:57 -0300] "GET /SmartBank/extrato.jsp HTTP/1.1" 200 2810
0:0:0:0:0:0:0:1 - - [27/Feb/2020:07:49:57 -0300] "GET /SmartBank/extratojs.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2020:07:49:57 -0300] "GET /SmartBank/img/logo.png HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [27/Feb/2020:07:50:07 -0300] "POST /SmartBank/extrato.jsp HTTP/1.1" 200 6368
0:0:0:0:0:0:0:1 - - [27/Feb/2020:07:57:06 -0300] "GET /SmartBank/home.jsp HTTP/1.1" 200 10744
0:0:0:0:0:0:0:1 - - [27/Feb/2020:08:38:05 -0300] "GET /SmartBank/home.jsp HTTP/1.1" 200 10581
0:0:0:0:0:0:0:1 - - [27/Feb/2020:08:38:05 -0300] "GET /SmartBank/img/logo.png HTTP/1.1" 200 1642
