0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:52:07 -0200] "GET /SmartBank/home.jsp HTTP/1.1" 200 10933
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:52:07 -0200] "GET /SmartBank/img/logo.png HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:52:07 -0200] "GET /SmartBank/home.jsp HTTP/1.1" 200 10933
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:52:07 -0200] "GET /SmartBank/img/logo.png HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:52:07 -0200] "GET /SmartBank/home.jsp HTTP/1.1" 200 10933
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:52:07 -0200] "GET /SmartBank/img/logo.png HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:52:07 -0200] "GET /SmartBank/home.jsp HTTP/1.1" 200 10933
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:52:07 -0200] "GET /SmartBank/img/logo.png HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:52:07 -0200] "GET /SmartBank/home.jsp HTTP/1.1" 200 10933
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:52:07 -0200] "GET /SmartBank/img/logo.png HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:52:07 -0200] "GET /SmartBank/home.jsp HTTP/1.1" 200 10933
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:52:07 -0200] "GET /SmartBank/img/logo.png HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:52:08 -0200] "GET /SmartBank/home.jsp HTTP/1.1" 200 10933
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:52:08 -0200] "GET /SmartBank/img/logo.png HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:52:08 -0200] "GET /SmartBank/home.jsp HTTP/1.1" 200 10933
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:52:08 -0200] "GET /SmartBank/img/logo.png HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [14/Feb/2020:09:52:08 -0200] "GET /SmartBank/home.jsp HTTP/1.1" 200 10933
